date,genre,sales,sales_low,sales_high,units,units_low,units_high,avg_price
2019-06-03,566647,5430100.79,2586170.31,12205774.1,593,282,1332,9164.447537856206
2019-06-03,567251,1084605.18,516560.18,2437973.82,140,67,315,7731.889656791536
2019-06-03,567434,746402.31,355485.66,1341465.28,67,32,121,11083.799460686914
2019-06-03,567538,1992623.81,949018.34,4479017.52,298,142,669,6690.245491022575
2019-06-03,567554,523675.07,257280.75,1177116.32,25,12,56,20905.758924298974
2019-06-03,567623,1352587.03,731721.29,3040343.53,252,136,567,5364.193511250654
2019-06-03,567645,1052842.95,635835.09,1658325.28,443,267,697,2379.2554658793356
2019-06-03,567662,945201.0,582812.63,1685077.56,115,71,206,8199.213620356697
2019-06-03,567664,1184003.95,634738.18,2440229.61,156,84,321,7600.93406249449
2019-06-03,567665,1064010.12,506751.33,2391680.4,108,52,243,9838.443692888037
2019-06-04,100181,1043970.44,497207.3,2346635.31,34,16,76,30756.037362286443
2019-06-04,100487,1920290.67,914568.34,4316427.18,384,183,863,5003.394164301826
