date,shop,genre,predicted_sales
2019-05-18,11246,558873,1079
2019-05-19,11246,558873,1175
2019-05-20,11246,558873,1284
2019-05-21,11246,558873,946
2019-05-22,11246,558873,207
2019-05-23,11246,558873,197
2019-05-24,11246,558873,196
2019-05-25,11246,558873,282
2019-05-26,11246,558873,226
2019-05-27,11246,558873,204
2019-05-28,11246,558873,204
2019-05-29,11246,558873,207
2019-05-30,11246,558873,264
2019-05-31,11246,558873,196
2019-05-01,11246,560271,139
2019-05-02,11246,560271,134
2019-05-03,11246,560271,130
2019-05-04,11246,560271,139
2019-05-05,11246,560271,218
2019-05-06,11246,560271,146
2019-05-07,11246,560271,139
2019-05-08,11246,560271,139
2019-05-09,11246,560271,134
2019-05-10,11246,560271,171
2019-05-11,11246,560271,155
2019-05-12,11246,560271,177
2019-05-13,11246,560271,163
2019-05-14,11246,560271,45
2019-05-15,11246,560271,55
2019-05-16,11246,560271,44
2019-05-17,11246,560271,42
2019-05-18,11246,560271,45
2019-05-19,11246,560271,46
2019-05-20,11246,560271,58
2019-05-21,11246,560271,41
2019-05-22,11246,560271,41
2019-05-23,11246,560271,39
2019-05-24,11246,560271,38
2019-05-25,11246,560271,55
2019-05-26,11246,560271,46
2019-05-27,11246,560271,43
2019-05-28,11246,560271,41
2019-05-29,11246,560271,20
2019-05-30,11246,560271,26
2019-05-31,11246,560271,19
2019-05-01,11503,206440,76247
2019-05-02,11503,206440,72478
2019-05-03,11503,206440,57977
2019-05-04,11503,206440,59067
2019-05-05,11503,206440,79409
2019-05-06,11503,206440,50380
2019-05-07,11503,206440,56203
2019-05-08,11503,206440,60400
2019-05-09,11503,206440,71564
2019-05-10,11503,206440,111845
2019-05-11,11503,206440,109916
2019-05-12,11503,206440,167055
2019-05-13,11503,206440,181449
2019-05-14,11503,206440,215191
2019-05-15,11503,206440,265426
2019-05-16,11503,206440,300448
2019-05-17,11503,206440,284381
2019-05-18,11503,206440,291679
2019-05-19,11503,206440,198058
2019-05-20,11503,206440,236428
2019-05-21,11503,206440,153558
2019-05-22,11503,206440,156117
2019-05-23,11503,206440,122645
2019-05-24,11503,206440,107983
2019-05-25,11503,206440,148271
2019-05-26,11503,206440,105992
2019-05-27,11503,206440,97524
2019-05-28,11503,206440,105081
2019-05-29,11503,206440,112783
2019-05-30,11503,206440,160545
2019-05-31,11503,206440,109505
2019-05-01,11503,206471,145173
2019-05-02,11503,206471,128095
2019-05-03,11503,206471,93602
2019-05-04,11503,206471,90944
2019-05-05,11503,206471,121474
2019-05-06,11503,206471,78026
2019-05-07,11503,206471,84644
2019-05-08,11503,206471,86813
2019-05-09,11503,206471,85961
2019-05-10,11503,206471,120712
2019-05-11,11503,206471,110960
2019-05-12,11503,206471,128467
2019-05-13,11503,206471,114372
2019-05-14,11503,206471,119512
2019-05-15,11503,206471,129839
2019-05-16,11503,206471,125327
2019-05-17,11503,206471,125729
2019-05-18,11503,206471,133126
2019-05-19,11503,206471,98912
2019-05-20,11503,206471,122349
2019-05-21,11503,206471,85819
2019-05-22,11503,206471,92949
2019-05-23,11503,206471,89507
2019-05-24,11503,206471,79150
2019-05-25,11503,206471,113632
2019-05-26,11503,206471,88883
2019-05-27,11503,206471,78207
2019-05-28,11503,206471,79511
2019-05-29,11503,206471,86801
2019-05-30,11503,206471,130474
2019-05-31,11503,206471,104540
2019-05-02,11503,408789,21
2019-05-03,11503,408789,21
2019-05-06,11503,408789,23
2019-05-09,11503,408789,21
2019-05-10,11503,408789,29
2019-05-11,11503,408789,21
2019-05-12,11503,408789,25
2019-05-13,11503,408789,23
2019-05-14,11503,408789,24
2019-05-15,11503,408789,30
2019-05-16,11503,408789,21
2019-05-17,11503,408789,21
2019-05-18,11503,408789,21
2019-05-19,11503,408789,24
2019-05-21,11503,408789,23
2019-05-24,11503,408789,21
2019-05-25,11503,408789,29
2019-05-26,11503,408789,24
2019-05-27,11503,408789,23
2019-05-28,11503,408789,23
