genre,event,factor,rows
402279,ichiba-day,0.909,17
402279,marathon,1.0706,138
402279,point-back,0.9545,10
402279,supersale,0.9177,208
402279,thank-you,1.1046,14
402279,wonderful-day,1.0531,16
402279,zero-five,1.9263,76
407120,39shop,0.9242,29
407120,black-friday,1.3,46
407120,eagles,0.7806,23
407120,event,0.9875,223
407120,fashionthesale,1.0329,148
407120,fathers-day,0.904,13
407120,ichiba-day,1.0256,75
407120,marathon,1.2141,914
407120,mothers-day,0.904,13
407120,point-back,0.9351,42
407120,supersale,1.6276,226
407120,thank-you,1.1439,50
407120,wonderful-day,1.169,118
407120,zero-five,1.9892,537
408789,black-friday,0.863,12
408789,eagles,0.7037,6
408789,event,0.9691,60
408789,fashionthesale,1.1108,56
408789,fathers-day,1.0235,8
408789,ichiba-day,0.964,44
408789,marathon,1.0241,360
408789,mothers-day,1.0235,8
408789,point-back,1.8216,11
408789,supersale,1.5073,131
408789,thank-you,1.5586,18
408789,wonderful-day,0.9136,30
408789,zero-five,1.3333,245
502221,black-friday,1.1029,11
502221,event,1.0764,38
502221,fashionthesale,0.9472,48
502221,ichiba-day,1.6552,14
502221,marathon,0.65,142
502221,point-back,1.3677,6
502221,supersale,0.8257,62
502221,thank-you,1.305,14
502221,wonderful-day,1.1083,26
502221,zero-five,1.0132,80
502280,black-friday,1.3387,40
502280,eagles,0.9149,14
502280,event,1.0196,46
502280,fashionthesale,1.1214,59
502280,ichiba-day,1.0924,32
502280,marathon,1.0772,345
502280,point-back,0.9147,14
502280,supersale,1.5186,136
502280,thank-you,1.0,36
502280,wonderful-day,1.1923,38
502280,zero-five,1.814,204
502835,marathon,0.7238,42
502835,supersale,1.1197,14
502835,zero-five,0.7616,14
506012,black-friday,1.68,10
506012,fashionthesale,1.0,32
506012,fathers-day,0.8622,10
506012,ichiba-day,1.3333,11
506012,marathon,1.0,108
506012,mothers-day,0.8622,10
506012,supersale,2.0,15
506012,thank-you,1.04,9
506012,wonderful-day,1.0417,9
506012,zero-five,1.75,49
506536,fashionthesale,0.7195,7
506536,marathon,1.1414,39
506536,supersale,1.5109,7
506536,zero-five,2.4,15
506539,ichiba-day,0.807,12
506539,marathon,1.4066,228
506539,newyear-sale,1.4295,29
506539,supersale,1.0111,716
506539,zero-five,2.4,120
507515,black-friday,1.215,49
507515,eagles,0.9851,23
507515,event,0.8451,60
507515,fashionthesale,0.9911,166
507515,fathers-day,1.0357,25
507515,ichiba-day,1.0127,77
507515,marathon,1.1336,783
507515,mothers-day,1.0357,25
507515,point-back,1.0137,30
507515,supersale,1.2677,180
507515,thank-you,1.0,62
507515,wonderful-day,1.1075,64
507515,zero-five,1.6761,442
507843,39shop,1.014,6
507843,black-friday,2.1703,20
507843,eagles,1.1966,9
507843,event,0.9611,53
507843,fashionthesale,1.0292,82
507843,fathers-day,1.3652,16
507843,ichiba-day,1.1111,43
507843,marathon,1.2285,386
507843,mothers-day,1.3652,16
507843,point-back,1.0159,21
507843,supersale,1.375,159
507843,thank-you,1.4336,27
507843,wonderful-day,1.373,41
507843,zero-five,1.875,211
508456,fashionthesale,0.8312,8
508456,marathon,1.0193,43
508456,supersale,0.9474,37
508456,zero-five,2.1711,20
508599,black-friday,0.8487,10
508599,fashionthesale,1.0154,50
508599,ichiba-day,1.0,19
508599,marathon,1.0403,265
508599,supersale,0.9606,83
508599,wonderful-day,0.9688,25
508599,zero-five,1.2947,161
509417,black-friday,1.2966,15
509417,eagles,0.9354,6
509417,event,0.74,15
509417,fashionthesale,1.2801,37
509417,fathers-day,1.1315,9
509417,ichiba-day,1.0159,18
509417,marathon,1.0479,179
509417,mothers-day,1.1315,9
509417,supersale,1.3757,54
509417,thank-you,1.5544,11
509417,wonderful-day,1.6056,11
509417,zero-five,1.7974,93
509434,39shop,0.7393,21
509434,black-friday,1.6649,80
509434,eagles,0.8006,24
509434,event,0.9142,255
509434,fashionthesale,1.102,147
509434,fathers-day,1.578,6
509434,ichiba-day,0.9166,98
509434,marathon,1.3012,1055
509434,mothers-day,1.578,6
509434,newyear-sale,0.7374,7
509434,point-back,0.8249,44
509434,supersale,1.1765,1160
509434,thank-you,1.1646,59
509434,wonderful-day,1.0,39
509434,zero-five,2.4,630
510003,black-friday,2.1805,10
510003,fashionthesale,1.0,32
510003,ichiba-day,1.0,11
510003,marathon,1.3419,139
510003,point-back,0.8,7
510003,supersale,1.5471,24
510003,thank-you,0.9855,11
510003,wonderful-day,1.3247,9
510003,zero-five,2.4,72
511293,black-friday,1.298,23
511293,eagles,1.3491,6
511293,fashionthesale,0.7166,64
511293,fathers-day,1.1524,24
511293,ichiba-day,1.4655,28
511293,marathon,1.1998,262
511293,mothers-day,1.1524,24
511293,point-back,0.8373,10
511293,supersale,1.4938,68
511293,thank-you,1.1599,22
511293,wonderful-day,1.8339,7
511293,zero-five,2.4,112
551180,event,0.65,5
551180,fashionthesale,0.65,8
551180,ichiba-day,0.8839,7
551180,marathon,1.0426,74
551180,supersale,1.1026,12
551180,wonderful-day,0.9623,6
551180,zero-five,1.2676,32
551228,fashionthesale,0.7476,15
551228,fathers-day,0.964,14
551228,ichiba-day,0.8149,10
551228,marathon,1.0078,111
551228,mothers-day,0.964,14
551228,supersale,1.302,25
551228,wonderful-day,1.2339,9
551228,zero-five,1.6176,50
551732,event,0.9085,9
551732,marathon,1.6443,12
551732,supersale,1.6947,7
551732,zero-five,1.366,18
551736,fashionthesale,1.2708,8
551736,ichiba-day,1.0993,16
551736,marathon,1.3714,42
551736,supersale,2.4,28
551736,wonderful-day,0.9313,6
551736,zero-five,1.6044,50
554973,black-friday,1.4569,19
554973,eagles,1.0,10
554973,fashionthesale,1.0546,93
554973,fathers-day,1.0169,27
554973,ichiba-day,1.1273,51
554973,marathon,1.0215,372
554973,mothers-day,1.0169,27
554973,point-back,1.0,17
554973,supersale,1.1468,88
554973,thank-you,1.0037,40
554973,wonderful-day,1.037,37
554973,zero-five,1.476,228
555003,black-friday,1.2327,30
555003,eagles,1.0962,16
555003,event,2.1495,28
555003,fashionthesale,0.9533,174
555003,ichiba-day,1.1203,65
555003,marathon,1.0517,636
555003,point-back,1.278,6
555003,supersale,1.3721,167
555003,thank-you,1.2717,34
555003,wonderful-day,1.3812,42
555003,zero-five,1.6016,361
555421,black-friday,1.2911,27
555421,eagles,1.1817,10
555421,event,1.149,116
555421,fashionthesale,1.0004,50
555421,ichiba-day,1.109,33
555421,marathon,1.0766,301
555421,point-back,1.0384,17
555421,supersale,1.0294,586
555421,thank-you,1.1531,30
555421,wonderful-day,1.979,15
555421,zero-five,1.8714,176
558754,black-friday,1.0628,33
558754,eagles,0.7816,11
558754,fashionthesale,1.0,91
558754,fathers-day,0.6949,24
558754,ichiba-day,1.2721,49
558754,marathon,1.0,486
558754,mothers-day,0.6949,24
558754,point-back,0.8036,17
558754,supersale,1.2114,121
558754,thank-you,0.8425,29
558754,wonderful-day,1.4436,46
558754,zero-five,1.4103,288
558846,black-friday,1.6637,12
558846,event,0.9629,33
558846,fashionthesale,1.3195,22
558846,fathers-day,1.1372,12
558846,ichiba-day,1.052,16
558846,marathon,1.1473,127
558846,mothers-day,1.1372,12
558846,supersale,0.942,12
558846,wonderful-day,1.2146,21
558846,zero-five,1.2929,50
558873,event,0.9525,16
558873,fashionthesale,0.65,35
558873,ichiba-day,0.65,6
558873,marathon,0.65,110
558873,supersale,1.0,17
558873,zero-five,1.0081,45
560271,black-friday,1.0657,62
560271,eagles,0.7537,24
560271,event,1.1402,121
560271,fashionthesale,1.1844,212
560271,ichiba-day,1.0335,98
560271,marathon,1.3462,869
560271,point-back,0.9429,29
560271,supersale,1.274,211
560271,thank-you,1.2399,48
560271,wonderful-day,1.0161,93
560271,zero-five,1.8866,563
562641,black-friday,1.0507,37
562641,eagles,1.0463,9
562641,event,1.1177,6
562641,fashionthesale,0.9908,72
562641,fathers-day,1.056,22
562641,ichiba-day,1.0047,36
562641,marathon,1.0093,428
562641,mothers-day,1.056,22
562641,point-back,0.9527,16
562641,supersale,1.0234,95
562641,thank-you,1.0164,41
562641,wonderful-day,1.0282,33
562641,zero-five,1.0917,356
563339,black-friday,1.413,42
563339,eagles,1.1498,14
563339,event,0.8164,14
563339,fashionthesale,1.0556,113
563339,fathers-day,1.0558,48
563339,ichiba-day,0.9917,59
563339,marathon,1.0294,559
563339,mothers-day,1.0558,48
563339,point-back,1.0185,29
563339,supersale,1.206,278
563339,thank-you,1.1302,48
563339,wonderful-day,1.1969,40
563339,zero-five,2.2109,388
563342,black-friday,1.2395,64
563342,eagles,0.9987,27
563342,event,0.65,27
563342,fashionthesale,0.9103,119
563342,fathers-day,1.0205,63
563342,ichiba-day,1.2,75
563342,marathon,1.0674,784
563342,mothers-day,1.0205,63
563342,point-back,1.0442,24
563342,supersale,1.1686,193
563342,thank-you,1.5234,56
563342,wonderful-day,1.3514,65
563342,zero-five,1.477,514
563689,marathon,0.8333,12
564286,black-friday,1.2975,20
564286,eagles,1.2934,5
564286,event,0.7779,97
564286,fashionthesale,0.9819,48
564286,ichiba-day,0.9937,18
564286,marathon,1.1775,176
564286,point-back,1.1423,6
564286,supersale,1.0524,94
564286,thank-you,0.9518,13
564286,wonderful-day,1.1725,15
564286,zero-five,1.4084,110
564647,black-friday,1.25,5
564647,fashionthesale,0.9765,15
564647,fathers-day,1.0809,5
564647,ichiba-day,1.3227,6
564647,marathon,1.1074,93
564647,mothers-day,1.0809,5
564647,point-back,0.8123,7
564647,supersale,0.65,45
564647,thank-you,0.65,8
564647,wonderful-day,1.451,6
564647,zero-five,2.3466,49
564895,event,0.65,5
564895,fashionthesale,0.9938,8
564895,ichiba-day,1.0,7
564895,marathon,1.0258,46
564895,supersale,1.3796,11
564895,wonderful-day,1.3647,6
564895,zero-five,1.7666,14
565724,marathon,0.9265,8
566061,39shop,0.7203,18
566061,black-friday,1.6384,99
566061,eagles,0.8679,28
566061,event,0.8397,174
566061,fashionthesale,1.0,159
566061,fathers-day,1.1804,26
566061,ichiba-day,1.0713,116
566061,marathon,1.2401,977
566061,mothers-day,1.1804,26
566061,point-back,0.9453,54
566061,supersale,1.5567,295
566061,thank-you,1.3776,88
566061,wonderful-day,1.1224,94
566061,zero-five,1.8777,569
566403,39shop,1.6787,7
566403,black-friday,1.9407,26
566403,eagles,2.4,6
566403,event,1.006,93
566403,fashionthesale,0.7687,59
566403,fathers-day,0.65,25
566403,ichiba-day,1.1374,23
566403,marathon,1.0308,363
566403,mothers-day,0.65,25
566403,point-back,1.3264,17
566403,supersale,1.7409,202
566403,thank-you,1.3045,24
566403,wonderful-day,1.4381,26
566403,zero-five,1.6732,201
566647,39shop,0.9332,8
566647,black-friday,1.2681,18
566647,eagles,0.9223,9
566647,event,0.6782,109
566647,fashionthesale,0.9166,42
566647,ichiba-day,1.5,18
566647,marathon,1.1291,122
566647,point-back,0.9617,12
566647,supersale,1.6365,62
566647,thank-you,1.5926,14
566647,wonderful-day,1.7375,14
566647,zero-five,2.4,76
567251,black-friday,2.4,34
567251,eagles,1.4126,24
567251,fashionthesale,1.167,251
567251,ichiba-day,1.2331,68
567251,marathon,1.2842,653
567251,point-back,0.896,11
567251,supersale,1.8091,115
567251,thank-you,2.1905,30
567251,wonderful-day,1.4117,66
567251,zero-five,2.0742,430
567434,black-friday,0.65,37
567434,eagles,0.65,14
567434,event,0.65,106
567434,fashionthesale,0.7102,126
567434,fathers-day,2.4,13
567434,ichiba-day,0.7005,77
567434,marathon,1.5932,773
567434,mothers-day,2.4,13
567434,point-back,0.65,15
567434,supersale,1.5593,139
567434,thank-you,0.65,21
567434,wonderful-day,1.6521,78
567434,zero-five,2.2258,475
567538,event,0.7871,6
567538,fashionthesale,0.65,6
567554,event,0.65,6
567554,fashionthesale,1.0637,16
567554,marathon,1.25,74
567554,point-back,0.9231,5
567554,supersale,0.65,38
567554,thank-you,1.0,10
567554,zero-five,2.4,45
567623,event,0.8515,8
567623,marathon,1.0,23
567623,supersale,0.8309,12
567623,zero-five,1.1852,5
567645,black-friday,1.6126,16
567645,eagles,0.9113,5
567645,fashionthesale,1.0082,20
567645,fathers-day,1.8102,6
567645,ichiba-day,0.8934,14
567645,marathon,1.3029,182
567645,mothers-day,1.8102,6
567645,supersale,1.6906,29
567645,thank-you,0.9897,17
567645,wonderful-day,1.0099,20
567645,zero-five,2.4,91
567662,39shop,1.016,34
567662,black-friday,1.4248,120
567662,eagles,0.8906,48
567662,event,0.9877,534
567662,fashionthesale,1.0014,300
567662,fathers-day,1.1213,70
567662,ichiba-day,1.0531,166
567662,marathon,1.2243,1556
567662,mothers-day,1.1213,70
567662,point-back,1.0,120
567662,supersale,1.3723,321
567662,thank-you,1.2526,124
567662,wonderful-day,1.787,106
567662,zero-five,2.4,1021
567664,39shop,1.0448,24
567664,black-friday,2.1147,147
567664,eagles,1.14,54
567664,event,0.8872,491
567664,fashionthesale,0.9307,350
567664,fathers-day,1.3485,73
567664,ichiba-day,1.0509,167
