genre,rank,estimated_sales
216424,2,265240.0
216424,3,219200.0
216424,4,176800.0
216424,5,119864.0
216424,6,119864.0
216424,7,97500.0
216424,8,95550.0
216424,9,95550.0
216424,10,91000.0
216424,11,91000.0
216424,12,91000.0
216424,13,91000.0
216424,14,74685.0
216424,15,71350.0
216424,16,65000.0
216424,17,65000.0
216424,18,65000.0
216424,19,65000.0
216424,20,46900.0
301577,1,348491.5
301577,2,348491.5
301577,3,348491.5
301577,4,348491.5
301577,5,348491.5
301577,6,348491.5
301577,7,348491.5
301577,8,348491.5
301577,9,275200.0
301577,10,275200.0
301577,11,275200.0
301577,12,275200.0
301577,13,199995.0
301577,14,199995.0
301577,15,199995.0
301577,16,186600.0
301577,17,186600.0
301577,18,186600.0
301577,19,157898.0
301577,20,139500.0
304080,1,187226.0
304080,2,157536.0
304080,3,122976.0
304080,4,83720.0
304080,5,81800.0
304080,6,81800.0
304080,7,64691.0
304080,8,64691.0
304080,9,54890.0
304080,10,54780.0
304080,11,49800.0
304080,12,48800.0
304080,13,48800.0
304080,14,41860.0
304080,15,39840.0
304080,16,39840.0
304080,17,39840.0
304080,18,39840.0
304080,19,39040.0
304080,20,33870.0
304763,1,93184.0
304763,2,36480.0
304763,3,29900.0
304763,4,24320.0
304763,5,22240.0
304763,6,17920.0
304763,7,15960.0
304763,8,12160.0
304763,9,9100.0
304763,10,8960.0
304763,11,8960.0
304763,12,8960.0
304763,13,8640.0
304763,14,8640.0
304763,15,7980.0
304763,16,6080.0
304763,17,5280.0
304763,18,3000.0
304763,19,2289.0
304763,20,2289.0
401131,1,77240.0
401131,2,45000.0
401131,3,45000.0
401131,4,37445.0
401131,5,35980.0
401131,6,35980.0
401131,7,29760.0
401131,8,29760.0
401131,9,29760.0
401131,10,25520.0
401131,11,23013.0
401131,12,20580.0
401131,13,20580.0
401131,14,19650.0
401131,15,19435.5
401131,16,19275.0
401131,17,19275.0
401131,18,19275.0
401131,19,18170.0
401131,20,15900.0
401534,1,67320.0
401534,2,64802.5
401534,3,55057.5
401534,4,52360.0
401534,5,52360.0
401534,6,51920.0
401534,7,49489.0
401534,8,40700.0
401534,9,40700.0
401534,10,40700.0
401534,11,40700.0
401534,12,32026.5
401534,13,32026.5
401534,14,29920.0
401534,15,29920.0
401534,16,26016.0
401534,17,26016.0
401534,18,24420.0
401534,19,22967.5
401534,20,16484.0
402018,1,142560.0
402018,2,142560.0
402018,3,87200.0
402018,4,87200.0
402018,5,68400.0
402018,6,68145.0
402018,7,65400.0
402018,8,65400.0
402018,9,65400.0
402018,10,65400.0
402018,11,65400.0
402018,12,65400.0
402018,13,65400.0
402018,14,51600.0
402018,15,49960.0
402018,16,49960.0
402018,17,44580.0
402018,18,44580.0
402018,19,44580.0
402018,20,44580.0
402279,1,97200.0
402279,2,56700.0
402279,3,56700.0
402279,4,56700.0
402279,5,52960.0
402279,6,52960.0
402279,7,52960.0
402279,8,51754.0
402279,9,51754.0
402279,10,42889.0
402279,11,42889.0
402279,12,42889.0
402279,13,42591.5
402279,14,42591.5
402279,15,42591.5
402279,16,42591.5
402279,17,42040.5
402279,18,42040.5
402279,19,42040.5
402279,20,34220.5
407120,1,119985.0
407120,2,79990.0
407120,3,61992.0
407120,4,50994.0
407120,5,46794.0
407120,6,39196.0
407120,7,35993.0
407120,8,35993.0
407120,9,31497.5
407120,10,28000.0
407120,11,27747.0
407120,12,26995.5
407120,13,26995.5
407120,14,26995.5
407120,15,23798.0
407120,16,23798.0
407120,17,19875.0
407120,18,19875.0
407120,19,19447.5
407120,20,18597.0
408789,1,63426.0
408789,2,31840.0
408789,3,31840.0
408789,4,22200.0
408789,5,22200.0
408789,6,22200.0
408789,7,22200.0
408789,8,22200.0
408789,9,22200.0
408789,10,20348.5
408789,11,20348.5
408789,12,16140.0
408789,13,15984.0
408789,14,14800.0
408789,15,14800.0
408789,16,14800.0
408789,17,14800.0
408789,18,14800.0
408789,19,14800.0
408789,20,14800.0
501098,1,125352.0
501098,2,125352.0
501098,3,125352.0
501098,4,125352.0
501098,5,125352.0
501098,6,125352.0
501098,7,125352.0
501098,8,125352.0
501098,9,125352.0
501098,10,125352.0
501098,11,125352.0
501098,12,125352.0
501098,13,125352.0
501098,14,125352.0
501098,15,125352.0
501098,16,125352.0
501098,17,125352.0
