shop,genre,sales,units,page_views
12879,401534,2172353,325,13804
12879,408789,25272,4,624
12879,502280,332012,84,2970
12879,509434,7727,3,76
12879,551180,5664224,1635,33097
12879,558846,1274864,258,17785
12879,558873,388212,79,5961
12879,567434,1661537,920,5625
1289,205761,2347192,683,13484
1289,216424,1592760,378,7133
1289,501098,0,0,2
1289,558873,78570,88,1722
1289,567538,328797,240,6181
12896,201632,433054,173,6716
12896,202502,0,0,474
12896,401534,29700,5,300
12989,201925,0,0,275
12989,204586,0,0,3
12989,210413,0,0,4
12989,216173,0,0,2
12989,551180,3300,1,125
12998,206361,360000,2,2286
12998,207288,1083580,89,7702
12998,216424,209400,66,1080
12998,304080,116000,2,6300
12998,407120,3000,2,215
12998,408789,94800,3,831
12998,508599,268000,8,2069
12998,551180,22216630,3073,191974
12998,558846,3592520,200,28237
12998,558873,6809020,153,108555
12998,560271,0,0,423
12998,567538,1173700,320,6912
13031,100487,19239600,135,113571
13031,201632,0,0,102
13031,205611,66700,10,450
13031,206361,0,0,1276
13031,206363,59380,7,603
13031,206440,1691130,51,13802
13031,206471,950510,36,9283
13031,207288,1223380,76,12028
13031,216158,3157520,144,15526
13031,301577,798160,6,2247
13031,304080,7691390,112,29033
13031,401131,44400,3,173
13031,408789,11008250,706,101630
13031,502221,2503300,45,11752
13031,502280,38625370,2192,217145
13031,551180,10703710,1160,114692
13031,551732,0,0,8
13031,558846,9583940,593,75573
13031,558873,117894800,2792,730983
13031,560271,210370,8,2203
13062,401131,430361,149,24955
13157,201351,2135345,529,27793
13157,506536,2900780,675,34394
13157,506539,0,0,4
13157,509434,0,0,3
13256,201351,0,0,1
13256,215913,674,1,34
13256,506536,49295,72,737
13256,567645,3740,1,18
13261,100487,5444440,73,28233
13261,201632,17600,1,111
13261,206361,352220,2,63
13261,206363,48010,2,713
13261,206440,445510,26,9097
13261,206471,274120,11,2985
13261,207288,8471515,335,73642
13261,216158,3749921,52,21032
13261,216424,1018852,96,1767
13261,301577,0,0,30
13261,304080,354220,6,3306
13261,408789,1928148,75,25247
13261,502221,549800,4,2250
13261,502280,1135550,14,4279
13261,508599,80400,3,410
13261,551180,5078652,496,67963
13261,558846,1733194,102,20628
13261,558873,31252770,641,238046
13261,560271,558415,64,11579
13261,564895,1047200,119,7032
13327,110409,4150,3,64
13374,507843,8802,4,485
13374,551180,0,0,21
13415,100487,28074214,7730,1064494
13423,214099,9874345,5771,107073
13423,564647,587026,386,5581
13423,567645,139717,168,2153
13439,216158,187757,15,2357
13439,304080,93636,10,1425
13476,509434,0,0,2
13476,567538,0,0,1
13492,301577,1453650,377,13233
13492,408789,3391910,338,29230
13492,502221,4970,1,192
13492,502280,0,0,187
13539,210413,0,0,587
13587,100181,136012,91,1865
13587,100487,0,0,3
13587,110365,227476,181,10590
13587,200181,0,0,15
13587,204964,182314,174,2621
13587,207288,570144,581,12422
13587,208532,0,0,72
13587,216173,3583380,2832,31520
13587,301577,260754,116,3510
13587,401131,1358550,572,35117
13587,401534,205218,96,4991
13587,408789,264113,149,4958
13587,502835,0,0,282
13587,508456,54261,38,1552
13587,509434,62118857,33448,403824
13587,551732,646452,289,6044
13587,551736,11957,5,330
13587,555003,0,0,111
13587,555421,0,0,659
13587,560271,577068,406,16250
13587,564895,0,0,8
13588,401131,91200,32,2935
13588,408789,120900,74,3189
13588,551180,10203430,3765,185712
13588,558846,12600,1,310
13588,558873,73000,2,1421
13739,110365,18642,9,730
13739,201632,19777,8,1351
13739,202502,253309,142,14924
13739,207288,0,0,206
13739,551736,10854,3,276
13911,100487,979949,771,36522
14000,101535,56909,9,856
14000,201184,170238,24,840
14000,204964,9600,1,68
14000,205611,441604,25,1021
14000,205761,71118,3,335
14000,214099,19760562,4339,70872
14000,402279,0,0,719
14000,501098,8836701,925,28158
14000,506536,82605,14,621
14000,551732,0,0,20
14000,551736,7497722,540,8110
14105,100487,0,0,1
14105,101954,7200,11,16
14105,200181,34040,18,393
14105,201632,0,0,155
14105,201925,20980,6,590
14105,204586,6080,1,120
14105,205272,0,0,5
14105,205761,7520,4,546
14105,208532,0,0,1
14105,212377,9560,1,177
14105,216173,0,0,7
14105,301577,35240,8,1335
14105,402018,32234749,1474,90270
14105,402279,25780,17,761
14105,408789,43860,11,575
14105,502221,0,0,31
14105,502280,3960,2,204
14105,508599,0,0,17
14105,560271,0,0,59
14106,207288,14000,9,2072
14106,560271,0,0,33
14275,207288,50100,16,2241
14275,401534,7100,8,720
14275,551736,3200,2,832
14275,560271,7700,6,983
14293,100181,860280,70,5957
14293,101535,1089800,177,6574
14293,110365,9900,1,193
14293,110409,0,0,32
14293,110435,6120,1,31
14293,200181,0,0,14
14293,201184,1637398,182,33521
14293,201351,0,0,12
14293,201632,0,0,88
14293,201925,7084,2,656
14293,204586,52455,5,1001
14293,205272,4305,1,285
14293,205582,92459,15,887
14293,205611,4698265,462,44389
14293,205761,6494869,784,111679
14293,207288,151872,32,2926
14293,207774,48730,5,449
14293,207802,0,0,15
14293,208532,18700,1,853
14293,212377,3872,1,265
14293,214099,671369,98,6520
14293,214104,299440,46,2582
14293,215913,0,0,459
14293,216424,0,0,1
14293,402279,2160501,162,40099
14293,407120,4455,1,87
