date,genre,rank,shop,source,sales,lower_rank,upper_rank,lower_sales,upper_sales
2026-05-27,110409,7,14461,actual,,,,,
2026-05-27,110409,7,,estimated,5131.82,41,72,2400.0,1200.0
2026-05-27,110409,8,5816,actual,,,,,
2026-05-27,110409,8,,estimated,5018.39,41,72,2400.0,1200.0
2026-05-27,110409,9,65031,actual,,,,,
2026-05-27,110409,9,,estimated,4907.47,41,72,2400.0,1200.0
2026-05-27,110409,10,53360,actual,,,,,
2026-05-27,110409,10,,estimated,4799.0,41,72,2400.0,1200.0
2026-05-27,110409,11,53360,actual,,,,,
2026-05-27,110409,11,,estimated,4692.93,41,72,2400.0,1200.0
2026-05-27,110409,12,40027,actual,,,,,
2026-05-27,110409,12,,estimated,4589.2,41,72,2400.0,1200.0
2026-05-27,110409,13,39954,actual,,,,,
2026-05-27,110409,13,,estimated,4487.77,41,72,2400.0,1200.0
2026-05-27,110409,14,14461,actual,,,,,
2026-05-27,110409,14,,estimated,4388.57,41,72,2400.0,1200.0
2026-05-27,110409,15,53360,actual,,,,,
2026-05-27,110409,15,,estimated,4291.57,41,72,2400.0,1200.0
2026-05-27,110409,16,5816,actual,,,,,
2026-05-27,110409,16,,estimated,4196.71,41,72,2400.0,1200.0
2026-05-27,110409,17,21158,actual,,,,,
2026-05-27,110409,17,,estimated,4103.95,41,72,2400.0,1200.0
2026-05-27,110409,18,56824,actual,,,,,
2026-05-27,110409,18,,estimated,4013.24,41,72,2400.0,1200.0
2026-05-27,110409,19,,estimated,3924.53,41,72,2400.0,1200.0
2026-05-27,110409,20,49854,actual,,,,,
2026-05-27,110409,20,,estimated,3837.78,41,72,2400.0,1200.0
2026-05-27,110435,1,39496,actual,,,,,
2026-05-27,110435,1,,estimated,80454.15,35,61,12000.0,2800.0
2026-05-27,110435,2,5081,actual,,,,,
2026-05-27,110435,2,,estimated,76075.38,35,61,12000.0,2800.0
2026-05-27,110435,3,24561,actual,,,,,
2026-05-27,110435,3,,estimated,71934.93,35,61,12000.0,2800.0
2026-05-27,110435,4,67093,actual,,,,,
2026-05-27,110435,4,,estimated,68019.81,35,61,12000.0,2800.0
2026-05-27,110435,5,5081,actual,,,,,
2026-05-27,110435,5,,estimated,64317.78,35,61,12000.0,2800.0
2026-05-27,110435,6,5355,actual,,,,,
2026-05-27,110435,6,,estimated,60817.23,35,61,12000.0,2800.0
2026-05-27,110435,7,5804,actual,,,,,
2026-05-27,110435,7,,estimated,57507.2,35,61,12000.0,2800.0
2026-05-27,110435,8,41242,actual,,,,,
2026-05-27,110435,8,,estimated,54377.32,35,61,12000.0,2800.0
2026-05-27,110435,9,39496,actual,,,,,
2026-05-27,110435,9,,estimated,51417.78,35,61,12000.0,2800.0
2026-05-27,110435,10,14696,actual,,,,,
2026-05-27,110435,10,,estimated,48619.31,35,61,12000.0,2800.0
2026-05-27,110435,11,55308,actual,,,,,
2026-05-27,110435,11,,estimated,45973.15,35,61,12000.0,2800.0
2026-05-27,110435,12,55059,actual,,,,,
2026-05-27,110435,12,,estimated,43471.01,35,61,12000.0,2800.0
2026-05-27,110435,13,14797,actual,,,,,
2026-05-27,110435,13,,estimated,41105.05,35,61,12000.0,2800.0
2026-05-27,110435,14,55308,actual,,,,,
2026-05-27,110435,14,,estimated,38867.85,35,61,12000.0,2800.0
2026-05-27,110435,15,55308,actual,,,,,
2026-05-27,110435,15,,estimated,36752.41,35,61,12000.0,2800.0
2026-05-27,110435,16,5081,actual,,,,,
2026-05-27,110435,16,,estimated,34752.11,35,61,12000.0,2800.0
2026-05-27,110435,17,5081,actual,,,,,
2026-05-27,110435,17,,estimated,32860.67,35,61,12000.0,2800.0
2026-05-27,110435,18,24561,actual,,,,,
2026-05-27,110435,18,,estimated,31072.18,35,61,12000.0,2800.0
2026-05-27,110435,19,14696,actual,,,,,
2026-05-27,110435,19,,estimated,29381.02,35,61,12000.0,2800.0
2026-05-27,110435,20,4405,actual,,,,,
2026-05-27,110435,20,,estimated,27781.9,35,61,12000.0,2800.0
2026-05-27,110632,1,22573,actual,,,,,
2026-05-27,110632,1,,estimated,40912.76,14,20,41976.0,42476.0
2026-05-27,110632,2,19672,actual,,,,,
2026-05-27,110632,2,,estimated,40993.59,14,20,41976.0,42476.0
2026-05-27,110632,3,22573,actual,,,,,
2026-05-27,110632,3,,estimated,41074.57,14,20,41976.0,42476.0
2026-05-27,110632,4,22573,actual,,,,,
2026-05-27,110632,4,,estimated,41155.71,14,20,41976.0,42476.0
2026-05-27,110632,5,19672,actual,,,,,
2026-05-27,110632,5,,estimated,41237.01,14,20,41976.0,42476.0
2026-05-27,110632,6,22573,actual,,,,,
2026-05-27,110632,6,,estimated,41318.48,14,20,41976.0,42476.0
2026-05-27,110632,7,22573,actual,,,,,
2026-05-27,110632,7,,estimated,41400.1,14,20,41976.0,42476.0
2026-05-27,110632,8,22573,actual,,,,,
2026-05-27,110632,8,,estimated,41481.89,14,20,41976.0,42476.0
2026-05-27,110632,9,19672,actual,,,,,
2026-05-27,110632,9,,estimated,41563.83,14,20,41976.0,42476.0
2026-05-27,110632,10,19672,actual,,,,,
2026-05-27,110632,10,,estimated,41645.94,14,20,41976.0,42476.0
2026-05-27,110632,11,48306,actual,,,,,
2026-05-27,110632,11,,estimated,41728.21,14,20,41976.0,42476.0
2026-05-27,110632,12,48306,actual,,,,,
2026-05-27,110632,12,,estimated,41810.64,14,20,41976.0,42476.0
2026-05-27,110632,13,22573,actual,,,,,
2026-05-27,110632,13,,estimated,41893.24,14,20,41976.0,42476.0
2026-05-27,110632,14,9448,actual,41976.0,,,,
2026-05-27,110632,15,36672,actual,,,,,
2026-05-27,110632,15,,estimated,42058.92,14,20,41976.0,42476.0
2026-05-27,110632,16,,estimated,42142.01,14,20,41976.0,42476.0
2026-05-27,110632,17,19672,actual,,,,,
2026-05-27,110632,17,,estimated,42225.26,14,20,41976.0,42476.0
2026-05-27,110632,18,22573,actual,,,,,
2026-05-27,110632,18,,estimated,42308.68,14,20,41976.0,42476.0
2026-05-27,110632,19,48306,actual,,,,,
2026-05-27,110632,19,,estimated,42392.25,14,20,41976.0,42476.0
2026-05-27,110632,20,9448,actual,42476.0,,,,
2026-05-27,200181,1,21082,actual,,,,,
2026-05-27,200181,1,,estimated,19258.94,9,75,17495.0,7920.0
2026-05-27,200181,2,80614,actual,,,,,
2026-05-27,200181,2,,estimated,19029.07,9,75,17495.0,7920.0
2026-05-27,200181,3,48488,actual,,,,,
2026-05-27,200181,3,,estimated,18801.95,9,75,17495.0,7920.0
2026-05-27,200181,4,17377,actual,,,,,
2026-05-27,200181,4,,estimated,18577.53,9,75,17495.0,7920.0
2026-05-27,200181,5,8953,actual,,,,,
2026-05-27,200181,5,,estimated,18355.8,9,75,17495.0,7920.0
2026-05-27,200181,6,77638,actual,,,,,
2026-05-27,200181,6,,estimated,18136.71,9,75,17495.0,7920.0
2026-05-27,200181,7,,estimated,17920.23,9,75,17495.0,7920.0
2026-05-27,200181,8,77638,actual,,,,,
2026-05-27,200181,8,,estimated,17706.34,9,75,17495.0,7920.0
2026-05-27,200181,9,18356,actual,17495.0,,,,
2026-05-27,200181,10,80012,actual,,,,,
2026-05-27,200181,10,,estimated,17286.18,9,75,17495.0,7920.0
2026-05-27,200181,11,80614,actual,,,,,
2026-05-27,200181,11,,estimated,17079.86,9,75,17495.0,7920.0
2026-05-27,200181,12,,estimated,16876.0,9,75,17495.0,7920.0
2026-05-27,200181,13,78551,actual,,,,,
2026-05-27,200181,13,,estimated,16674.57,9,75,17495.0,7920.0
2026-05-27,200181,14,56914,actual,,,,,
2026-05-27,200181,14,,estimated,16475.54,9,75,17495.0,7920.0
2026-05-27,200181,15,29288,actual,,,,,
2026-05-27,200181,15,,estimated,16278.9,9,75,17495.0,7920.0
2026-05-27,200181,16,,estimated,16084.59,9,75,17495.0,7920.0
2026-05-27,200181,17,17340,actual,,,,,
2026-05-27,200181,17,,estimated,15892.61,9,75,17495.0,7920.0
2026-05-27,200181,18,,estimated,15702.92,9,75,17495.0,7920.0
2026-05-27,200181,19,,estimated,15515.49,9,75,17495.0,7920.0
2026-05-27,200181,20,49128,actual,,,,,
2026-05-27,200181,20,,estimated,15330.3,9,75,17495.0,7920.0
2026-05-27,201184,1,71334,actual,,,,,
2026-05-27,201184,2,35586,actual,,,,,
2026-05-27,201184,3,85821,actual,,,,,
2026-05-27,201184,4,43077,actual,,,,,
2026-05-27,201184,5,21549,actual,,,,,
2026-05-27,201184,6,14707,actual,,,,,
2026-05-27,201184,7,31271,actual,,,,,
2026-05-27,201184,8,591,actual,,,,,
2026-05-27,201184,9,2971,actual,,,,,
2026-05-27,201184,10,27234,actual,,,,,
2026-05-27,201184,11,591,actual,,,,,
2026-05-27,201184,12,65325,actual,,,,,
2026-05-27,201184,13,71334,actual,,,,,
2026-05-27,201184,14,4359,actual,,,,,
2026-05-27,201184,15,64152,actual,,,,,
2026-05-27,201184,16,591,actual,,,,,
2026-05-27,201184,17,22128,actual,,,,,
2026-05-27,201184,18,23597,actual,,,,,
2026-05-27,201184,19,8614,actual,,,,,
2026-05-27,201184,20,37272,actual,,,,,
2026-05-27,201351,1,7571,actual,,,,,
2026-05-27,201351,1,,estimated,177122.26,44,77,98010.0,62235.0
2026-05-27,201351,2,18906,actual,,,,,
2026-05-27,201351,2,,estimated,174701.38,44,77,98010.0,62235.0
2026-05-27,201351,3,37876,actual,,,,,
2026-05-27,201351,3,,estimated,172313.6,44,77,98010.0,62235.0
2026-05-27,201351,4,,estimated,169958.44,44,77,98010.0,62235.0
2026-05-27,201351,5,,estimated,167635.48,44,77,98010.0,62235.0
2026-05-27,201351,6,35586,actual,,,,,
2026-05-27,201351,6,,estimated,165344.27,44,77,98010.0,62235.0
2026-05-27,201351,7,45140,actual,,,,,
2026-05-27,201351,7,,estimated,163084.38,44,77,98010.0,62235.0
2026-05-27,201351,8,,estimated,160855.37,44,77,98010.0,62235.0
2026-05-27,201351,9,45140,actual,,,,,
2026-05-27,201351,9,,estimated,158656.82,44,77,98010.0,62235.0
2026-05-27,201351,10,81518,actual,,,,,
2026-05-27,201351,10,,estimated,156488.33,44,77,98010.0,62235.0
2026-05-27,201351,11,81518,actual,,,,,
2026-05-27,201351,11,,estimated,154349.47,44,77,98010.0,62235.0
2026-05-27,201351,12,22573,actual,,,,,
2026-05-27,201351,12,,estimated,152239.85,44,77,98010.0,62235.0
2026-05-27,201351,13,22573,actual,,,,,
2026-05-27,201351,13,,estimated,150159.06,44,77,98010.0,62235.0
2026-05-27,201351,14,,estimated,148106.72,44,77,98010.0,62235.0
2026-05-27,201351,15,20354,actual,,,,,
2026-05-27,201351,15,,estimated,146082.42,44,77,98010.0,62235.0
2026-05-27,201351,16,22573,actual,,,,,
2026-05-27,201351,16,,estimated,144085.79,44,77,98010.0,62235.0
2026-05-27,201351,17,22573,actual,,,,,
2026-05-27,201351,17,,estimated,142116.45,44,77,98010.0,62235.0
2026-05-27,201351,18,22573,actual,,,,,
2026-05-27,201351,18,,estimated,140174.02,44,77,98010.0,62235.0
2026-05-27,201351,19,22573,actual,,,,,
2026-05-27,201351,19,,estimated,138258.15,44,77,98010.0,62235.0
2026-05-27,201351,20,16523,actual,,,,,
2026-05-27,201351,20,,estimated,136368.46,44,77,98010.0,62235.0
2026-05-27,201486,1,62308,actual,545874.0,,,,
2026-05-27,201486,2,70169,actual,,,,,
2026-05-27,201486,2,,estimated,435739.79,1,18,545874.0,11840.0
2026-05-27,201486,3,70169,actual,,,,,
2026-05-27,201486,3,,estimated,347825.95,1,18,545874.0,11840.0
2026-05-27,201486,4,29707,actual,,,,,
2026-05-27,201486,4,,estimated,277649.36,1,18,545874.0,11840.0
2026-05-27,201486,5,70169,actual,,,,,
2026-05-27,201486,5,,estimated,221631.4,1,18,545874.0,11840.0
2026-05-27,201486,6,15170,actual,,,,,
2026-05-27,201486,6,,estimated,176915.47,1,18,545874.0,11840.0
2026-05-27,201486,7,70169,actual,,,,,
2026-05-27,201486,7,,estimated,141221.3,1,18,545874.0,11840.0
2026-05-27,201486,8,29707,actual,,,,,
2026-05-27,201486,8,,estimated,112728.68,1,18,545874.0,11840.0
2026-05-27,201486,9,68824,actual,,,,,
2026-05-27,201486,9,,estimated,89984.66,1,18,545874.0,11840.0
2026-05-27,201486,10,70169,actual,,,,,
2026-05-27,201486,10,,estimated,71829.4,1,18,545874.0,11840.0
2026-05-27,201486,11,62221,actual,,,,,
2026-05-27,201486,11,,estimated,57337.1,1,18,545874.0,11840.0
2026-05-27,201486,12,13047,actual,,,,,
2026-05-27,201486,12,,estimated,45768.73,1,18,545874.0,11840.0
2026-05-27,201486,13,70169,actual,,,,,
2026-05-27,201486,13,,estimated,36534.35,1,18,545874.0,11840.0
2026-05-27,201486,14,64354,actual,,,,,
2026-05-27,201486,14,,estimated,29163.08,1,18,545874.0,11840.0
2026-05-27,201486,15,39839,actual,,,,,
2026-05-27,201486,15,,estimated,23279.02,1,18,545874.0,11840.0
