date,genre,predicted_sales,predicted_sales_low,predicted_sales_high
2019-06-01,214104,8060,8051,9827
2019-06-01,214781,1156431,1154517,1245279
2019-06-01,215430,0,0,0
2019-06-01,215913,25105,25070,30618
2019-06-01,216158,4603467,4596811,4957161
2019-06-01,216173,885720,884404,953770
2019-06-01,216424,638855,637969,687945
2019-06-01,301577,2258765,2255510,2432312
2019-06-01,304080,103669,103528,111629
2019-06-01,304763,14072,14050,15161
2019-06-01,401131,393131,392568,433986
2019-06-01,401534,435548,433689,469017
2019-06-01,402279,252412,251984,271823
2019-06-01,407120,23259,23229,26723
2019-06-01,408789,442502,441187,476513
2019-06-01,501098,1843,1843,2060
2019-06-01,502221,1589307,1587011,1937538
2019-06-01,502280,776278,775153,835924
2019-06-01,502835,924441,923100,995468
2019-06-01,506536,25088,25071,27016
2019-06-01,506539,34934618,34883931,37618620
2019-06-01,507843,2164494,2161357,2330791
2019-06-01,508456,109093,108935,117481
2019-06-01,508599,61404,61311,66124
2019-06-01,509417,139856,139652,170553
2019-06-01,509434,4468375,4461894,5134195
2019-06-01,510003,737980,736919,794689
2019-06-01,511293,6525,6518,7958
2019-06-01,551180,7377954,7348967,7944812
2019-06-01,551228,605162,604117,651652
2019-06-01,551732,451663,451042,518993
2019-06-01,551736,192528,192282,212515
2019-06-01,558846,2587126,2583381,2785884
2019-06-01,558873,1298960,1296828,1398751
2019-06-01,560271,955000,953632,1028370
2019-06-01,563339,3061028,3056585,3296204
2019-06-01,563342,1882431,1879701,2027054
2019-06-01,563689,574635,573805,618781
2019-06-01,564647,23940,23906,29201
2019-06-01,564895,274432,274033,315334
2019-06-01,565724,840628,839412,905218
2019-06-01,566061,576,576,617
2019-06-01,566647,931333,929982,1002885
2019-06-01,567434,5378,5378,6560
2019-06-01,567538,325294,324827,359094
2019-06-01,567623,603553,602606,649923
2019-06-01,567645,890141,888845,1022821
2019-06-01,567662,12821616,12803004,13806688
2019-06-01,567664,17322308,17297169,18653171
2019-06-01,all,145683444,145451156,158214197
2019-07-01,100181,2064,2064,2220
2019-07-01,100487,1453592,1451485,1772229
2019-07-01,100992,37606,37557,43210
2019-07-01,101020,889011,887729,981393
2019-07-01,101535,281350,280943,343111
2019-07-01,101954,37641,37579,45908
2019-07-01,110365,73998,73891,79686
2019-07-01,110409,4996,4995,6094
2019-07-01,110435,451313,450663,485987
2019-07-01,110632,10150,10140,12375
2019-07-01,200181,7464,7460,8576
2019-07-01,201184,907091,905734,976789
2019-07-01,201351,1247958,1246174,1343844
2019-07-01,201632,56927,56863,61299
2019-07-01,201925,3943,3943,4251
2019-07-01,204586,2925,2924,3230
2019-07-01,205582,8688320,8675732,10595293
2019-07-01,205611,249462,249103,268616
2019-07-01,205761,147485,147295,169395
2019-07-01,206361,626834,625928,674995
2019-07-01,206363,5050085,5042660,5438077
2019-07-01,206440,5834478,5826043,6282736
2019-07-01,206471,3970787,3965049,4275883
