date,genre,sales,sales_low,sales_high,units,units_low,units_high,avg_price
2018-12-01,201925,38931779.78,18541868.57,87510805.81,3812,1817,8561,10223.391686554089
2018-12-01,202502,63402162.89,38121214.35,142515302.13,12872,7740,28932,4925.963174196305
2018-12-01,204586,179785232.19,109371050.28,349908580.82,1564,949,3047,114925.8143778059
2018-12-01,204934,42261825.73,20127854.18,92145182.36,2028,964,4423,20839.808939428058
2018-12-01,204964,75211543.61,50165828.79,114769282.88,13329,8889,20342,5642.042116574518
2018-12-01,205272,70498382.35,33575954.44,158466175.02,4534,2158,10187,15559.310103613318
2018-12-01,205582,138976069.54,86242001.66,303355665.62,6686,4148,14595,20788.12546005629
2018-12-01,205611,176648627.4,84131664.84,397070562.05,28040,13355,63026,6300.150326133339
2018-12-01,205761,99268377.81,63617802.17,223135336.36,28909,18524,64975,3434.1161480686696
2018-12-01,206361,45223347.04,21538324.14,83029379.99,4306,2049,7903,10505.742830358338
2018-12-01,206363,80508421.97,38343391.92,157200030.6,5627,2679,10987,14312.772390310342
2018-12-01,206440,418039872.27,224988585.22,838083258.2900001,99373,53482,199221,4206.773328617142
2018-12-01,206471,120632051.97,58521794.66,271156572.19,31526,15293,70863,3826.5412005380563
2018-12-01,207288,34463088.3,20484329.849999998,77466085.05,11238,6682,25261,3066.8244861662915
2018-12-01,207774,92892429.16,44241469.13,208803485.78,7579,3609,17029,12260.545693890897
2018-12-01,207802,72946255.98,34741792.29,163968503.44,5997,2855,13484,12161.404190822628
2018-12-01,207966,100414212.71000001,48059721.57,194630439.91,2922,1398,5665,34342.478538966505
2018-12-01,208532,42726070.88,20348957.19,96039606.87,736,352,1653,58105.97751937984
2018-12-01,210022,106836634.41,50882614.32,195859719.75,4857,2313,8905,21992.525
2018-12-01,210413,58706142.75,27959716.81,131959595.0,979,467,2207,59865.244298884034
2018-12-01,212377,66218297.66,31537498.19,148845407.25,1577,751,3543,42009.42932991578
2018-12-01,214099,41805572.74,20611088.94,93970512.87,6165,3039,13862,6779.985977538586
2018-12-01,214104,57981436.519999996,27614563.47,112185696.08,6043,2879,11686,9597.276106696936
2018-12-01,214781,55149333.44,34396818.41,96876497.54,6580,4104,11562,8378.659257920732
2018-12-01,215430,132333637.66,63025958.98,297459382.68,2710,1289,6098,48774.620552645836
2018-12-01,215913,62273472.14,29866315.98,115109061.48,2757,1320,5099,22577.01560131613
2018-12-01,216158,23263974.91,11889229.92,47309741.92,7076,3618,14391,3287.7802556969336
2018-12-01,216173,28308809.98,18102545.29,51293855.04,13831,8848,25064,2046.4075523855204
2018-12-01,216424,186902223.65,89015100.73,420118584.05,26348,12549,59217,7094.464883836265
2018-12-01,301577,82766266.08,39418726.64,186041910.23,5433,2588,12211,15236.422483146187
2018-12-01,304080,76795835.64,47471108.63,112252990.93,10419,6440,15230,7371.324394765833
2018-12-01,304763,15061448.09,7173249.87,31247847.11,3848,1835,7981,3915.298689101155
2018-12-01,401131,34740988.44,20827949.16,67445364.94,12695,7610,24644,2736.9203972791574
2018-12-01,401534,40789555.01,19635226.82,71344884.07000001,11928,5739,20858,3420.16930955647
2018-12-01,402018,89643126.8,48121847.93,185368671.36,4350,2332,8991,20623.2417056456
